"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Kxbi39","963545236",5300000,4040000,-1260000,-23.8
"Rex47","798815731",4994500,,,
"Okul Mevisto","375389182",4664000,900000,-3764000,-80.7
"BΛ 18th Qu1nO","311184143",4529000,1710000,-2819000,-62.2
"Zak McKracken","583975841",4397000,2962500,-1434500,-32.6
"BΛ 18th Failix93","531337631",3793000,4200000,407000,10.7
"Nudo der Rächer","553153872",3790500,2525000,-1265500,-33.4
"Rene","652417452",3590500,925000,-2665500,-74.2
"Kyle Katarn","857467862",3519000,900000,-2619000,-74.4
"bL4De","457291367",3219000,2850000,-369000,-11.5
"Tobiwan","215178647",3067000,1882500,-1184500,-38.6
"DD44ddyy","569924112",2556000,750000,-1806000,-70.7
"Maxima","272612712",2556000,1116250,-1439750,-56.3
"Radhad","726188947",2412000,2550000,138000,5.7
"Halodri","423968927",2282500,1447500,-835000,-36.6
"BΛ 18th Domme53","293754352",2268500,1950000,-318500,-14
"Stefan80","853644323",2243500,1070000,-1173500,-52.3
"Micha","441471428",2174500,2185000,10500,0.5
"n0am","736436766",2095000,1265000,-830000,-39.6
"Ethan Calypso","834324965",2044000,1390000,-654000,-32
"YPSOLON","912458532",2044000,1008750,-1035250,-50.6
"Evilfraggle","527696828",1915500,665000,-1250500,-65.3
"Bullet","877667496",1833500,775000,-1058500,-57.7
"Sasa","496742742",1655000,0,-1655000,-100
"olliw30","785375887",1608000,600000,-1008000,-62.7
"Rendo","529589453",1603000,1252500,-350500,-21.9
"Korgas","765528436",1350500,975000,-375500,-27.8
"Aaron","894684436",1295000,300000,-995000,-76.8
"Pelzdavi","412292457",1261500,750000,-511500,-40.5
"Cyria","562612771",1253000,975000,-278000,-22.2
"Gabel","973795682",1239500,,,
"Amgcobra","529132897",1238000,0,-1238000,-100
"Nikotin2803","225819189",1162000,1075000,-87000,-7.5
"Eselinho","673687898",1128000,300000,-828000,-73.4
"Xyvee","666924181",1104500,0,-1104500,-100
"Giga","731918197",1102000,772500,-329500,-29.9
"Pekaju81","657872812",1100000,415000,-685000,-62.3
"Cyno Lanri","856891947",1078000,550000,-528000,-49
"hartholzheftig","829453731",1035500,0,-1035500,-100
"YanHolo","791277669",955000,0,-955000,-100
"Meister DuKa","737898978",915000,0,-915000,-100
"Battlemurmel","215789357",911000,0,-911000,-100
"Wyrdn","928416533",818500,600000,-218500,-26.7
"BΛ Anexiety","486818281",772000,825000,53000,6.9
"Acaizuku","449847638",650000,600000,-50000,-7.7
"Mugami Chinzano","663193878",382500,0,-382500,-100
"Meister Kek","816352927",382000,30000,-352000,-92.1
"Falen Lacer","996731294",374500,255000,-119500,-31.9
"Murc de Burgh","779865135",325500,300000,-25500,-7.8
"Lavesuma","444867952",150000,190000,40000,26.7
