"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Rex47","798815731",10204000,10800000,596000,5.8
"Josef29","588644288",10084000,8610000,-1474000,-14.6
"BΛ 18th Qu1nO","311184143",7873500,5107500,-2766000,-35.1
"Okul Mevisto","375389182",6516500,1200000,-5316500,-81.6
"Zak McKracken","583975841",6290500,4980000,-1310500,-20.8
"DD44ddyy","569924112",5810500,4200000,-1610500,-27.7
"Radhad","726188947",5773500,9600000,3826500,66.3
"Kxbi39","963545236",5701500,3075000,-2626500,-46.1
"BΛ 18th Failix93","531337631",5440000,4650000,-790000,-14.5
"Poldy","198972786",5190500,3600000,-1590500,-30.6
"Tobiwan","215178647",4801000,2620000,-2181000,-45.4
"Nudo der Rächer","553153872",4776500,3307500,-1469000,-30.8
"Bad Batch","681176546",4711000,3900000,-811000,-17.2
"Kyle Katarn","857467862",4286000,1860000,-2426000,-56.6
"BΛ 18th Domme53","293754352",4241000,4350000,109000,2.6
"Sandrelle","225136779",4217500,4020000,-197500,-4.7
"Micha","441471428",3391500,3630000,238500,7
"Halodri","423968927",2953500,1825000,-1128500,-38.2
"Ethan Calypso","834324965",2845500,2162500,-683000,-24
"n0am","736436766",2828000,1867500,-960500,-34
"Maxima","272612712",2816000,1230000,-1586000,-56.3
"Evilfraggle","527696828",2710000,1221250,-1488750,-54.9
"YPSOLON","912458532",2666000,607500,-2058500,-77.2
"Campeón Pesadilla","987453191",2491500,1670000,-821500,-33
"Rendo","529589453",2208500,2065000,-143500,-6.5
"Exar Kun","587915188",2179500,2400000,220500,10.1
"Cyria","562612771",2101000,1455000,-646000,-30.7
"Wyrdn","928416533",1912000,1500000,-412000,-21.5
"Skylar Twink","588326869",1876000,530000,-1346000,-71.7
"Sasa","496742742",1860500,1505000,-355500,-19.1
"Bullet","877667496",1848500,750000,-1098500,-59.4
"Weltenklang","514375443",1828000,1342500,-485500,-26.6
"Nikotin2803","225819189",1802500,1905000,102500,5.7
"olliw30","785375887",1650500,1320000,-330500,-20
"Giga","731918197",1648000,1222500,-425500,-25.8
"Amgcobra","529132897",1579500,1045000,-534500,-33.8
"Korgas","765528436",1508500,1425000,-83500,-5.5
"Ben Eidenswert","122627455",1449000,1340000,-109000,-7.5
"Aaron","894684436",1328000,412500,-915500,-68.9
"Pelzdavi","412292457",1269500,750000,-519500,-40.9
"Pekaju81","657872812",1244000,0,-1244000,-100
"Eselinho","673687898",1221500,900000,-321500,-26.3
"Xyvee","666924181",1216500,0,-1216500,-100
"Cyno Lanri","856891947",1133000,470000,-663000,-58.5
"Imperatorin Skylar ツ","529359665",1043000,265000,-778000,-74.6
"hartholzheftig","829453731",1040000,0,-1040000,-100
"Battlemurmel","215789357",937500,600000,-337500,-36
"FirstOrderCommander","386171956",925500,545000,-380500,-41.1
"BΛ Anexiety","486818281",780500,825000,44500,5.7
"Murc de Burgh","779865135",497000,300000,-197000,-39.6
