"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Rex47","798815731",10975500,11100000,124500,1.1
"Josef29","588644288",10091000,9000000,-1091000,-10.8
"BΛ 18th Qu1nO","311184143",7871000,4390000,-3481000,-44.2
"Radhad","726188947",6994500,10050000,3055500,43.7
"Okul Mevisto","375389182",6600000,2320000,-4280000,-64.8
"Zak McKracken","583975841",6289500,4500000,-1789500,-28.5
"DD44ddyy","569924112",5810000,5652500,-157500,-2.7
"Nudo der Rächer","553153872",5743500,3390000,-2353500,-41
"Kxbi39","963545236",5701500,2625000,-3076500,-54
"Poldy","198972786",5481000,5300000,-181000,-3.3
"BΛ 18th Failix93","531337631",5437500,4650000,-787500,-14.5
"Tobiwan","215178647",4801500,3000000,-1801500,-37.5
"Bad Batch","681176546",4711000,3900000,-811000,-17.2
"BΛ 18th Domme53","293754352",4241000,4350000,109000,2.6
"Sandrelle","225136779",4216500,4000000,-216500,-5.1
"Micha","441471428",3394500,3667500,273000,8
"Halodri","423968927",3084500,1848750,-1235750,-40.1
"Ethan Calypso","834324965",2844500,1107500,-1737000,-61.1
"n0am","736436766",2828000,1595000,-1233000,-43.6
"Maxima","272612712",2815500,1350000,-1465500,-52.1
"Evilfraggle","527696828",2710500,1352500,-1358000,-50.1
"YPSOLON","912458532",2665500,1735000,-930500,-34.9
"Campeón Pesadilla","987453191",2527500,1677500,-850000,-33.6
"Rendo","529589453",2208500,2350000,141500,6.4
"Exar Kun","587915188",2179500,2400000,220500,10.1
"Cyria","562612771",2101500,1465000,-636500,-30.3
"Weltenklang","514375443",1918500,1405000,-513500,-26.8
"Wyrdn","928416533",1911500,2100000,188500,9.9
"Skylar Twink","588326869",1875500,300000,-1575500,-84
"Sasa","496742742",1860500,1190000,-670500,-36
"Bullet","877667496",1848500,600000,-1248500,-67.5
"Nikotin2803","225819189",1802500,2175000,372500,20.7
"olliw30","785375887",1650500,1330000,-320500,-19.4
"Giga","731918197",1647500,1222500,-425000,-25.8
"Amgcobra","529132897",1639000,0,-1639000,-100
"Korgas","765528436",1508500,1425000,-83500,-5.5
"Ben Eidenswert","122627455",1479500,360000,-1119500,-75.7
"Aaron","894684436",1327500,450000,-877500,-66.1
"Pelzdavi","412292457",1269000,750000,-519000,-40.9
"Pekaju81","657872812",1244000,547500,-696500,-56
"Eselinho","673687898",1221500,1050000,-171500,-14
"Xyvee","666924181",1216500,300000,-916500,-75.3
"Cyno Lanri","856891947",1133000,335000,-798000,-70.4
"Imperatorin Skylar ツ","529359665",1043000,300000,-743000,-71.2
"hartholzheftig","829453731",1040500,600000,-440500,-42.3
"Quinnscup","419626422",995500,1350000,354500,35.6
"Battlemurmel","215789357",937500,600000,-337500,-36
"FirstOrderCommander","386171956",925500,545000,-380500,-41.1
"BΛ Anexiety","486818281",780500,300000,-480500,-61.6
"Murc de Burgh","779865135",497000,225000,-272000,-54.7
